,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
0,1979-01-16 09:00:00,297.51456017947004,299.52868528902934,299.52075425575083,301.63292043626336,299.24061705777154,297.9231423970034
1,1979-02-14 21:00:00,297.60922634264523,299.3309553980313,300.1995673243149,301.35161194676107,299.85178307778375,298.2710060531292
2,1979-03-16 09:00:00,298.29112645920617,299.7725323021949,300.9501666665585,302.377117379928,300.7486846722071,300.6654137858827
3,1979-04-15 21:00:00,299.99734086501246,300.9212317954611,302.46504365374636,303.27464432491024,302.2143376368317,302.335675497653
4,1979-05-16 09:00:00,301.51751844265175,301.9893702548247,302.9379774216481,302.62070631191057,303.05608926768156,303.52754403188055
5,1979-06-15 21:00:00,302.7483870141148,302.5761972340373,303.1644635121553,302.31866199197174,303.3434725911844,303.43472414178405
6,1979-07-16 09:00:00,301.67334984620487,301.29844722305694,302.3320921396887,300.944379692339,302.6020450571376,302.64162081393533
7,1979-08-16 09:00:00,300.36256544379677,300.42469352551143,301.9713343506106,300.2485332656951,302.02824125146867,302.2828085599293
8,1979-09-15 21:00:00,301.0547788814796,301.50613309200037,302.1899985960322,300.8185551894127,302.4682498161355,303.0345494150979
9,1979-10-16 09:00:00,301.34550733416245,302.09129246972265,302.3217291875701,301.4412157482691,302.6220662012211,302.8558281958499
10,1979-11-15 21:00:00,300.58140836080656,301.41887187353836,301.41701567426037,301.701421137959,301.5173794758608,301.525330361538
11,1979-12-16 09:00:00,298.39699930144445,300.2188142248493,300.27910595968467,301.6665305472533,300.22996134671627,299.0682089013084
12,1980-01-16 09:00:00,297.33128919891476,299.671800697721,299.89814013947887,301.5065445885921,299.8378671586715,297.87965712320937
13,1980-02-15 09:00:00,297.00596666914527,299.4328913333941,300.18819817586734,301.7877006139007,300.3488082395612,299.1088924851813
14,1980-03-16 09:00:00,298.50669821239364,299.93713317098525,301.24114138425216,302.24846304890775,301.32466468003656,301.2208415655695
15,1980-04-15 21:00:00,300.26501212391395,301.12334383014445,302.4400230103741,303.10720903715224,302.06529987655307,301.8602403840962
16,1980-05-16 09:00:00,302.31759762303756,302.8183029068513,303.26783930972476,303.40075310512134,303.22789646091815,303.2943836719345
17,1980-06-15 21:00:00,302.94215302013816,303.0605164228503,303.401854489012,302.2725116145946,303.6084599606916,303.6266176382291
18,1980-07-16 09:00:00,301.30441538355075,301.39655776611283,302.44214494264054,301.0002515498099,302.3153241241806,302.50265032555336
19,1980-08-16 09:00:00,300.382264038296,300.9820433500756,302.02654935159137,300.527757860701,301.86224106309027,302.306624201888
20,1980-09-15 21:00:00,300.54787579947504,301.22789446424576,302.2773819543681,300.78177336187736,302.35720702534513,302.56667205336487
21,1980-10-16 09:00:00,301.4690167007934,302.0692810256626,302.58057576192994,301.50695887060596,302.3936840514499,302.47011403080063
22,1980-11-15 21:00:00,300.980083088839,301.80294821290124,301.54647733295934,301.82751210499555,301.395203771238,301.2189015132116
23,1980-12-16 09:00:00,298.46918042903434,300.12140783167,299.9673858624417,301.33910392388805,300.0688950602943,298.80000987825736
24,1981-01-16 09:00:00,297.3653984648435,299.514645157581,299.1901827040573,301.3816943639926,299.01096690881116,297.926620332168
25,1981-02-14 21:00:00,297.19048973733004,299.2155675466764,299.83064268121876,301.7387433161134,299.7964845505158,298.5331609075539
26,1981-03-16 09:00:00,298.50719913669343,300.2572910627307,301.2871875498373,302.2845572205787,301.1287710123955,300.85566511939
27,1981-04-15 21:00:00,300.28379992071655,301.53868847490844,302.4979112524506,303.04957401563837,302.4481263240382,302.97719936246574
28,1981-05-16 09:00:00,301.6303703300888,302.8851196257396,302.7146074893068,303.2696124574789,303.0352602270299,303.4198027939624
29,1981-06-15 21:00:00,301.83291193095477,302.4920226055734,302.54044478969166,301.6126049190708,303.02713349645785,303.3941792224158
30,1981-07-16 09:00:00,301.06538848215683,301.4328818248538,302.16147256439973,300.8321403729973,302.15923448070487,302.5650040281033
31,1981-08-16 09:00:00,300.1546376239262,300.5397869602159,302.03606030117805,300.6020653691651,302.1774872966163,302.40651786139085
32,1981-09-15 21:00:00,300.95617994488606,301.6266401905973,302.4145252274992,300.8819650895643,302.5614230941915,302.94899950791046
33,1981-10-16 09:00:00,301.4539297586242,302.25412922936715,302.9998587164964,301.5948395080529,303.2896855814622,303.2130337016727
34,1981-11-15 21:00:00,299.8330896527251,300.66178738918273,301.3817242051084,301.2161358528043,301.81011331838306,301.7567673501361
35,1981-12-16 09:00:00,298.1136544997883,299.67227587897,299.9930081930023,301.1380416524115,299.53546430946255,298.88839949864166
36,1982-01-16 09:00:00,296.9341191175141,299.2302398990155,299.18489754231086,300.8055541919075,298.77231264646275,297.9951657420131
37,1982-02-14 21:00:00,297.278468743242,299.16904102156803,300.29770205801026,301.045658773249,300.26334790554944,298.9322476838372
38,1982-03-16 09:00:00,298.0801050535623,299.7448032141594,301.5652973576176,301.8895824238474,301.7745659828346,301.28047127774846
39,1982-04-15 21:00:00,299.8238295906894,300.2593468195199,302.63294675955467,302.90085199037753,302.2388397856412,301.26860598814346
40,1982-05-16 09:00:00,301.66248629954794,302.1736595319475,303.028857178649,303.3337576729079,302.6518977162908,302.61784906547257
41,1982-06-15 21:00:00,302.90107865288667,303.13438335895614,302.7198471945518,302.10974070439124,302.9933697136428,303.28208847573285
42,1982-07-16 09:00:00,302.26801026506865,302.08007748037886,301.8438852910416,300.85170464973146,302.2396577416522,302.93429949280215
43,1982-08-16 09:00:00,301.1817449727132,301.1837258059446,301.56862831101165,300.4859501992345,301.8925487462487,302.55284619982956
44,1982-09-15 21:00:00,301.24246096046744,301.3850119688858,302.0766578329595,301.0123788039833,302.33604843735486,302.8463938588518
45,1982-10-16 09:00:00,302.03010332457586,303.0728888347577,302.92090669498396,302.3134511706903,303.36036588049376,303.46635524071075
46,1982-11-15 21:00:00,300.47064555242673,301.40277048372644,301.61744944448594,302.3804742891316,301.5634840575451,301.52422216901834
47,1982-12-16 09:00:00,298.2004628458757,300.3329037311572,300.37599917255466,301.7733144115889,300.01187077918786,299.0122004201869
48,1983-01-16 09:00:00,296.72810832292794,298.99436214905074,299.7015654034612,300.8745447640533,299.4877176305018,297.90745446488904
49,1983-02-14 21:00:00,296.6667329509584,299.01362266375787,300.84722566600976,301.01986955199686,300.6361408359086,298.4885333820878
50,1983-03-16 09:00:00,297.6913542928604,299.40558014444565,301.64993064095347,301.74527219088634,301.168417773275,300.8230599266631
