,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
count,480.0,480.0,480.0,480.0,480.0,480.0
mean,300.19745451024943,301.11646170716665,301.80734866682775,301.81469970406164,301.58211853426235,301.20414427042965
min,295.5547724019136,298.1074378720706,299.18489754231086,299.36172389455874,298.57185127063065,296.82959042468906
25%,298.5854569038664,300.2241858364966,301.03693819867516,301.22276653358017,300.6880155658266,299.7862589061792
50%,300.6589888975989,301.21829186104617,302.0914948138786,301.7338625660926,301.9817134406105,302.04541156779214
75%,301.66273865455213,301.9928481139957,302.646262379009,302.38667694312585,302.5509647126619,302.6622589385004
max,303.08650381347206,303.4263405068671,304.03897016631583,304.40928449216426,303.7078120360404,304.0228499170571
std,1.7932884302867027,1.1445620050178207,1.1268285105649702,0.8951239388672776,1.260755542679075,1.8865084589435466
skewness,-0.49636202498776383,-0.13905085328030134,-0.5603819776011875,0.2110606113502678,-0.5524154013800251,-0.7347088232610933
