,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
count,480.0,480.0,480.0,480.0,480.0,480.0
mean,100918.81032535018,100931.11247221305,100872.65498897176,101008.80711988766,100822.70283858212,100791.0725921264
min,99882.01928966132,100200.41141128325,100261.92067021577,100708.05843310813,99930.3846668854,99710.31671209543
25%,100418.52123929928,100639.99228221612,100532.63700808419,100911.2335609421,100336.25512837997,100275.47618345672
50%,100995.03023297901,100959.61752797733,100868.69918781379,101005.79461886092,100859.82565129401,100803.96769494949
75%,101394.53943814569,101229.0325790656,101193.84826317227,101101.28339687877,101257.89281825331,101300.11204982128
max,101743.80126901713,101549.90422740261,101618.28286416768,101352.83452468604,101679.07331706927,101698.56606189822
std,530.0210708568046,338.31071372868865,355.9948666268076,124.56442398364975,473.1299821147739,537.487764966955
skewness,-0.2706196199557777,-0.21800955873650169,0.0895709455839503,0.1574248430265498,-0.05122622425056516,-0.08676591462015015
