,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
70,15-11-1984 22:30,8.4982815,8.047531,6.3483973,9.276133,7.8526473,10.337225
71,16-12-1984 10:30,5.7139487,5.87006,6.247724,7.240735,6.798011,7.3612456
72,16-01-1985 10:30,5.404846,5.752408,5.903565,7.171336,6.617991,8.347151
73,14-02-1985 22:30,5.790452,5.778962,6.027909,7.1656656,7.6612444,8.103895
74,16-03-1985 10:30,6.6183944,6.7258544,6.704774,8.376594,7.327521,7.2243514
75,15-04-1985 22:30,6.5290194,6.943498,6.199607,7.7750635,6.8423796,6.8684235
76,16-05-1985 10:30,6.7785883,7.2987165,6.234974,7.747573,7.1605196,7.2590814
77,15-06-1985 22:30,8.230668,8.510224,6.203806,8.164893,7.3138733,8.297458
78,16-07-1985 10:30,8.103978,8.2071495,6.7778482,8.543165,7.730674,8.217529
79,16-08-1985 10:30,7.8822355,8.077316,6.841072,8.295662,7.482118,8.267702
80,15-09-1985 22:30,7.27482,7.8184676,6.7559805,7.839485,7.702742,8.089674
81,16-10-1985 10:30,7.0239134,7.3509192,6.323097,7.7542777,7.598726,8.5896635
82,15-11-1985 22:30,7.211398,7.59344,6.240922,8.213719,7.1240387,9.270179
83,16-12-1985 10:30,6.538948,7.0527024,5.9295425,8.040366,7.2141695,9.118872
84,16-01-1986 10:30,5.620511,6.4950037,5.9325953,7.585252,6.262225,7.3633604
85,14-02-1986 22:30,6.284517,6.4272814,6.446334,7.268228,8.179152,9.108123
86,16-03-1986 10:30,5.8424253,5.8964972,6.6459365,7.614211,7.6087136,7.1419654
87,15-04-1986 22:30,6.8443117,7.2112107,6.700647,8.309324,7.081075,6.9079504
88,16-05-1986 10:30,6.7407365,7.20819,6.3788085,7.996652,7.452607,7.9232645
89,15-06-1986 22:30,9.27788,9.214259,6.1345077,8.534296,6.9504805,7.631688
90,16-07-1986 10:30,8.264235,8.345327,6.2718315,7.9575195,6.984421,7.503784
91,16-08-1986 10:30,7.682157,7.8411384,6.712044,8.141464,7.611396,8.248072
92,15-09-1986 22:30,7.0465937,7.615716,6.3609943,7.6197715,7.6135154,8.055944
93,16-10-1986 10:30,7.6535063,7.8339095,7.046415,8.555296,8.563874,9.3868475
