,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
count,480.0,480.0,480.0,480.0,480.0,480.0
mean,7.361546993255615,7.518681049346924,6.641910076141357,8.209685325622559,7.653016567230225,8.403770446777344
min,5.2242608070373535,5.508814811706543,5.5728936195373535,6.529355049133301,5.833693027496338,6.7427263259887695
25%,6.574773788452148,6.6918041706085205,6.292071104049683,7.823496699333191,7.274966359138489,7.9560418128967285
50%,7.261614084243774,7.595919132232666,6.620075464248657,8.25115156173706,7.653613805770874,8.38962459564209
75%,8.220219850540161,8.304068565368652,6.958333492279053,8.603832483291626,8.063047170639038,8.789650678634644
max,9.744488716125488,9.43580150604248,8.32127857208252,9.59735107421875,9.272787094116211,10.828254699707031
std,1.0237170457839966,0.9739724397659302,0.49835607409477234,0.5535717606544495,0.6211452484130859,0.6827887296676636
skewness,0.1948639154434204,-0.11257222294807434,0.3561796545982361,-0.2242106795310974,-0.045595549046993256,0.2809261977672577
